Submission ID,Item ID,Anonymized Student ID,Date/Time Response Submitted,Response,Assessment Details,Assessment Scores,Date/Time Final Score Given,Final Score Points Earned,Final Score Points Possible,Feedback Statements Selected,Feedback on Peer Assessments
b2407d1a-c027-11e6-83e9-12e9e6699b24,1192641,de25d3dbd8ae06321072513b1f5156f9,2016-12-12 04:59:01+00:00,"{u'parts': [{u'text': u'Spanish (Latin America)'}], u'file_key': u'de25d3dbd8ae06321072513b1f5156f9/course-v1:WasedaX+JPC111x+3T2016/block-v1:WasedaX+JPC111x+3T2016+type@openassessment+block@0f4084fc4e2840a6aed7a4f115e0e030'}","Assessment #2359124
-- scored_at: 2016-12-18 22:26:57+00:00
-- type: PE
-- scorer_id: 878512e5b1ce5dbe96a90cc48dbde23f
Assessment #2358300
-- scored_at: 2016-12-18 16:07:59+00:00
-- type: PE
-- scorer_id: a55ceaa35ecb162a0851df8b4a6835c6
Assessment #2323458
-- scored_at: 2016-12-13 15:54:34+00:00
-- type: PE
-- scorer_id: 34f6843aabd98ee3b75f0431af012e84
Assessment #2318340
-- scored_at: 2016-12-13 04:53:21+00:00
-- type: PE
-- scorer_id: 970f70d7bd081b669dc6cc354aba3918
Assessment #2314210
-- scored_at: 2016-12-12 05:11:49+00:00
-- type: PE
-- scorer_id: 7b3953061dcd88736a38c59205acd251","Assessment #2359124
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: It's very good overall! I'm not so sure, but I think you should check the accent on 「シャドーイング」. The accent should be on ド rather than イン. I don't know if this might be a difficulty specific to some Spanish speakers, but take care with the sound of ず, which sounded to me more like す. To me, the rest sounds very good! Congrats and good job!
Assessment #2358300
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: 「発音が上手」の「上手」（じょうず／jozu）は、「z」の発音をもっと強調したらいいと思います。
「シャドーイングですか。」は、「か」の声の高が低い声に変更したらいいと思います。
Assessment #2323458
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: Easy to follow.
Assessment #2318340
-- 発音の良さ / Fluency of Pronunciation: まあ良い　Fair (2)
-- feedback: Good intonation throughout. 
上手 the ず sounded like a す.
なった lacked the accent.
In すか, your pitch rose on か whereas the original drops.
Assessment #2314210
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: Very clear pronunciation.",2016-12-19 03:32:12+00:00,2,2,"These assessments were useful.
These assessments were useful.
These assessments were useful.
",Thanks for the review. I understand better which points I should work in order to improve my pronunciation.
512a9ac4-c027-11e6-9ab6-0a5c05fc6cc4,1192636,5886be0b339609b33cdd4bcc9b448c26,2016-12-12 04:56:18+00:00,"{u'parts': [{u'text': u'Russian'}], u'file_key': u'5886be0b339609b33cdd4bcc9b448c26/course-v1:WasedaX+JPC111x+3T2016/block-v1:WasedaX+JPC111x+3T2016+type@openassessment+block@0f4084fc4e2840a6aed7a4f115e0e030'}","Assessment #2326050
-- scored_at: 2016-12-14 03:25:20+00:00
-- type: PE
-- scorer_id: 72cb347eddc5d54872731cf0423c0674
Assessment #2318333
-- scored_at: 2016-12-13 04:50:20+00:00
-- type: PE
-- scorer_id: 970f70d7bd081b669dc6cc354aba3918
Assessment #2318161
-- scored_at: 2016-12-13 03:53:56+00:00
-- type: PE
-- scorer_id: 8c64ecf9960cf6e928f8be748ba9db62
Assessment #2314206
-- scored_at: 2016-12-12 05:09:30+00:00
-- type: PE
-- scorer_id: 7b3953061dcd88736a38c59205acd251","Assessment #2326050
-- 発音の良さ / Fluency of Pronunciation: まあ良い　Fair (2)
-- feedback: Accents have been well pronounced but there were many pauses that made it sound less natural. Also the intonation of the last sentence was rising more than in the sample.
Assessment #2318333
-- 発音の良さ / Fluency of Pronunciation: まあ良い　Fair (2)
-- feedback: Pronunciation was a bit off for some words. More importantly, try to pay closer attention to the accent/intonation in the original. 
e.g.
シャドーイング should be シャ (go up) ドーイン (go down) グ like this shape _|--|_

There are other cases as well: 発音, 上手, シャドーイングすか
Assessment #2318161
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: ok
Assessment #2314206
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: Good pronunciation!",2016-12-13 04:50:20+00:00,2,2,,
7dbd79aa-c025-11e6-86fe-0a8574110096,1192619,684f36c9c29c9b8703a2f19825c3cdd7,2016-12-12 04:43:14+00:00,"{u'parts': [{u'text': u'Chinese - TeoChew dialect\nFluent Australian English'}], u'file_key': u'684f36c9c29c9b8703a2f19825c3cdd7/course-v1:WasedaX+JPC111x+3T2016/block-v1:WasedaX+JPC111x+3T2016+type@openassessment+block@0f4084fc4e2840a6aed7a4f115e0e030'}","Assessment #2318160
-- scored_at: 2016-12-13 03:53:29+00:00
-- type: PE
-- scorer_id: 8c64ecf9960cf6e928f8be748ba9db62
Assessment #2314567
-- scored_at: 2016-12-12 07:27:10+00:00
-- type: PE
-- scorer_id: 5886be0b339609b33cdd4bcc9b448c26
Assessment #2314203
-- scored_at: 2016-12-12 05:08:26+00:00
-- type: PE
-- scorer_id: 7b3953061dcd88736a38c59205acd251","Assessment #2318160
-- 発音の良さ / Fluency of Pronunciation: まあ良い　Fair (2)
-- feedback: ok
Assessment #2314567
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: I guess there were some iaccuracies but overall well conveyed.
Assessment #2314203
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: Very clear and pronunciation is similar to the original audio file.",2016-12-18 13:19:47+00:00,2,2,"These assessments were useful.
These assessments were useful.
These assessments were useful.
",
b1fc3a0e-c024-11e6-9479-0624f29c2134,1192613,7b3953061dcd88736a38c59205acd251,2016-12-12 04:37:32+00:00,"{u'parts': [{u'text': u'English - Australian'}], u'file_key': u'7b3953061dcd88736a38c59205acd251/course-v1:WasedaX+JPC111x+3T2016/block-v1:WasedaX+JPC111x+3T2016+type@openassessment+block@0f4084fc4e2840a6aed7a4f115e0e030'}","Assessment #2318319
-- scored_at: 2016-12-13 04:44:27+00:00
-- type: PE
-- scorer_id: 970f70d7bd081b669dc6cc354aba3918
Assessment #2318157
-- scored_at: 2016-12-13 03:52:57+00:00
-- type: PE
-- scorer_id: 8c64ecf9960cf6e928f8be748ba9db62
Assessment #2314500
-- scored_at: 2016-12-12 07:03:19+00:00
-- type: PE
-- scorer_id: 5886be0b339609b33cdd4bcc9b448c26","Assessment #2318319
-- 発音の良さ / Fluency of Pronunciation: まあ良い　Fair (2)
-- feedback: Decent pronunciation. Flow of the sentences were slightly choppy. 
発音が上手になった気がします lacked intonation. 

The word ""シャドーイング"" was influenced by it's English origins more than it should have. Remember ""シャドーイング"" is a Japanese word and should be pronounced differently from the original. Yours is different, but perhaps simply try to exaggerate the Japanese syllables more.

Good job :)
Assessment #2318157
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: ok
Assessment #2314500
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: Seemed accurate despite english accent.",2016-12-13 04:44:27+00:00,2,2,,
7d1066bc-c024-11e6-8873-0eb724640e0c,1192609,f78994dadca06f9e017f3e675e1224ef,2016-12-12 04:36:03+00:00,"{u'parts': [{u'text': u'Tagalog - Manila Dialect'}], u'file_key': u'f78994dadca06f9e017f3e675e1224ef/course-v1:WasedaX+JPC111x+3T2016/block-v1:WasedaX+JPC111x+3T2016+type@openassessment+block@0f4084fc4e2840a6aed7a4f115e0e030'}","Assessment #2317605
-- scored_at: 2016-12-12 23:06:42+00:00
-- type: PE
-- scorer_id: dbab92a2e3544889e6a743828ffa02bb
Assessment #2314187
-- scored_at: 2016-12-12 05:04:25+00:00
-- type: PE
-- scorer_id: 5886be0b339609b33cdd4bcc9b448c26
Assessment #2314172
-- scored_at: 2016-12-12 05:01:10+00:00
-- type: PE
-- scorer_id: c00498d78182952369d13f7792d95537","Assessment #2317605
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: Good intonation
Assessment #2314187
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: Accurate.
Assessment #2314172
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: Fair enough I liked the second part, it is understood although the foreign accent is still noticeable, keep practicing :D",2016-12-17 12:58:32+00:00,2,2,,
30e28c5c-c024-11e6-835d-0ae0526cfd3a,1192606,b99d21c7be4c5c8cc6ececaedef99bd0,2016-12-12 04:33:55+00:00,"{u'parts': [{u'text': u'mother language: spanish/ chilean dialect'}], u'file_key': u'b99d21c7be4c5c8cc6ececaedef99bd0/course-v1:WasedaX+JPC111x+3T2016/block-v1:WasedaX+JPC111x+3T2016+type@openassessment+block@0f4084fc4e2840a6aed7a4f115e0e030'}","Assessment #2358784
-- scored_at: 2016-12-18 18:29:26+00:00
-- type: PE
-- scorer_id: aa5d3c17a9fa351928b3dc378f29ab96
Assessment #2317601
-- scored_at: 2016-12-12 23:05:58+00:00
-- type: PE
-- scorer_id: dbab92a2e3544889e6a743828ffa02bb
Assessment #2314194
-- scored_at: 2016-12-12 05:06:53+00:00
-- type: PE
-- scorer_id: 7b3953061dcd88736a38c59205acd251
Assessment #2314139
-- scored_at: 2016-12-12 04:50:44+00:00
-- type: PE
-- scorer_id: c00498d78182952369d13f7792d95537","Assessment #2358784
-- 発音の良さ / Fluency of Pronunciation: まあ良い　Fair (2)
-- feedback: I think your pronunciation has mistake on pronouncing ""sh"" and ""ch"".
eg: You pronounced ""chado-ingu"" but it should be ""shado-ingu"".

Assessment #2317601
-- 発音の良さ / Fluency of Pronunciation: まあ良い　Fair (2)
-- feedback: Second section goof pronuniciation, first section was a little hard to hear
Assessment #2314194
-- 発音の良さ / Fluency of Pronunciation: まあ良い　Fair (2)
-- feedback: Your pronunciation is clear in certain parts. Be careful of your pronunciation of がします.
Assessment #2314139
-- 発音の良さ / Fluency of Pronunciation: まあ良い　Fair (2)
-- feedback: saludos  puede mejorar,  el はつおん suena como hatsuCHON y es hatsuON  , me gusto la segunda parte pero pierde un poco el tono de pregunta  parece una invitación , sigue practicando ,exitos ;D",2016-12-19 03:19:36+00:00,2,2,"These assessments were useful.
These assessments were useful.
These assessments were useful.
",
6a2341c0-c022-11e6-a73a-0a8574110096,1192592,c00498d78182952369d13f7792d95537,2016-12-12 04:21:12+00:00,"{u'parts': [{u'text': u'\u30b9\u30da\u30a4\u30f3\u8a9e\u3000\u30f4\u30a7\u30cd\u30c4\u30a3\u30a2\nspanish venezuelan'}], u'file_key': u'c00498d78182952369d13f7792d95537/course-v1:WasedaX+JPC111x+3T2016/block-v1:WasedaX+JPC111x+3T2016+type@openassessment+block@0f4084fc4e2840a6aed7a4f115e0e030'}","Assessment #2355370
-- scored_at: 2016-12-17 20:21:28+00:00
-- type: PE
-- scorer_id: 2ed453da9036e600a5c089205ad60503
Assessment #2343164
-- scored_at: 2016-12-16 13:38:59+00:00
-- type: PE
-- scorer_id: b31e436ec8b5e1aeab480e33e823613a
Assessment #2314124
-- scored_at: 2016-12-12 04:44:23+00:00
-- type: PE
-- scorer_id: 7b3953061dcd88736a38c59205acd251
Assessment #2314103
-- scored_at: 2016-12-12 04:37:04+00:00
-- type: PE
-- scorer_id: d21c1f95be9965d5b8d9059bacc7ccb5
Assessment #2314073
-- scored_at: 2016-12-12 04:26:27+00:00
-- type: PE
-- scorer_id: 5999a69cced96b3b1468a33e56b40d16","Assessment #2355370
-- 発音の良さ / Fluency of Pronunciation: まあ良い　Fair (2)
-- feedback: Watch out for じ in じょうず (audio sounds more like ようず); and rhythm of シャドーイング (seems a bit fast around イ).
Assessment #2343164
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: よかったです。
Assessment #2314124
-- 発音の良さ / Fluency of Pronunciation: まあ良い　Fair (2)
-- feedback: Good attempt. Pronunciation needs to be more clear and be careful of the pronunciation of 上手(じょうず).  
Assessment #2314103
-- 発音の良さ / Fluency of Pronunciation: まあ良い　Fair (2)
-- feedback: Rhythm is good. Pronunciation can be improved on;　「 じょうず」　sounded like  「ようず」, and 「ですか」 sounded like　「いぇすか」 in the recording.　
Assessment #2314073
-- 発音の良さ / Fluency of Pronunciation: 評価不能 Unable to Assess (2)
-- feedback: 意味が伝わらないです。",2016-12-12 05:01:10+00:00,2,2,"These assessments were useful.
These assessments were useful.
These assessments were useful.
","The first two very useful, the third a bit ambiguous since I do not know what it refers to"
43b2472a-c022-11e6-b54e-0ae0526cfd3a,1192588,5999a69cced96b3b1468a33e56b40d16,2016-12-12 04:20:08+00:00,"{u'parts': [{u'text': u'\u4e2d\u56fd\u8a9e\u30fb\u95fd\u5317\u65b9\u8a00'}], u'file_key': u'5999a69cced96b3b1468a33e56b40d16/course-v1:WasedaX+JPC111x+3T2016/block-v1:WasedaX+JPC111x+3T2016+type@openassessment+block@0f4084fc4e2840a6aed7a4f115e0e030'}","Assessment #2317599
-- scored_at: 2016-12-12 23:05:02+00:00
-- type: PE
-- scorer_id: dbab92a2e3544889e6a743828ffa02bb
Assessment #2314117
-- scored_at: 2016-12-12 04:41:30+00:00
-- type: PE
-- scorer_id: c00498d78182952369d13f7792d95537
Assessment #2314091
-- scored_at: 2016-12-12 04:33:02+00:00
-- type: PE
-- scorer_id: d21c1f95be9965d5b8d9059bacc7ccb5","Assessment #2317599
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: good intonation
Assessment #2314117
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: Good job !! Understand everything and also
The pronunciation is pretty good (I did not notice foreign accent and the timing is good and clear).
Assessment #2314091
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: Pronunciation and rhythm is good. Need to be careful with the pitch accent, especially on the first sentence.",2016-12-12 23:05:02+00:00,2,2,"These assessments were useful.
These assessments were useful.
These assessments were useful.
",
eeab1e96-c021-11e6-94a0-0a8574110096,1192583,72cb347eddc5d54872731cf0423c0674,2016-12-12 04:17:45+00:00,"{u'parts': [{u'text': u'\u30c9\u30a4\u30c4\u8a9e\u30fb\u30cb\u30fc\u30c0\u30fc\u30a8\u30b9\u30bf\u30fc\u30e9\u30a4\u30d2\u5dde\u3000\u82f1\u8a9e'}], u'file_key': u'72cb347eddc5d54872731cf0423c0674/course-v1:WasedaX+JPC111x+3T2016/block-v1:WasedaX+JPC111x+3T2016+type@openassessment+block@0f4084fc4e2840a6aed7a4f115e0e030'}","Assessment #2317596
-- scored_at: 2016-12-12 23:03:48+00:00
-- type: PE
-- scorer_id: dbab92a2e3544889e6a743828ffa02bb
Assessment #2314082
-- scored_at: 2016-12-12 04:29:13+00:00
-- type: PE
-- scorer_id: d21c1f95be9965d5b8d9059bacc7ccb5
Assessment #2314070
-- scored_at: 2016-12-12 04:25:20+00:00
-- type: PE
-- scorer_id: 5999a69cced96b3b1468a33e56b40d16","Assessment #2317596
-- 発音の良さ / Fluency of Pronunciation: まあ良い　Fair (2)
-- feedback: Good effort,  fluency a little bit slow.
Assessment #2314082
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: 発音がいいと思います。リズムも悪くはない。
ピーチアクセントは「気がします」と「ですか」は注意してください
Assessment #2314070
-- 発音の良さ / Fluency of Pronunciation: まあ良い　Fair (2)
-- feedback: リズム感が少しが変な感じしました。",2016-12-14 03:27:02+00:00,2,2,"These assessments were useful.
These assessments were useful.
These assessments were useful.
","The comments were mainly useful but I would have liked to know more exactly in which way my rhythm was ""変""."
9383ef64-c01e-11e6-8a69-06cfee5ac2a0,1192542,aa76951efb1ac83da662f3e2927c0cc3,2016-12-12 03:53:44+00:00,"{u'parts': [{u'text': u'\u30b9\u30da\u30a4\u30f3\u8a9e\u30fb\u30c1\u30ea\u306e\u30a2\u30af\u30bb\u30f3\u30c8 / Spanish\u30fbChilean accent'}], u'file_key': u'aa76951efb1ac83da662f3e2927c0cc3/course-v1:WasedaX+JPC111x+3T2016/block-v1:WasedaX+JPC111x+3T2016+type@openassessment+block@0f4084fc4e2840a6aed7a4f115e0e030'}","Assessment #2314100
-- scored_at: 2016-12-12 04:36:49+00:00
-- type: PE
-- scorer_id: c00498d78182952369d13f7792d95537
Assessment #2314071
-- scored_at: 2016-12-12 04:25:29+00:00
-- type: PE
-- scorer_id: d21c1f95be9965d5b8d9059bacc7ccb5
Assessment #2314068
-- scored_at: 2016-12-12 04:24:09+00:00
-- type: PE
-- scorer_id: 5999a69cced96b3b1468a33e56b40d16","Assessment #2314100
-- 発音の良さ / Fluency of Pronunciation: まあ良い　Fair (2)
-- feedback: Saludos ,  el tono en la segunda parte es un poco elevado ,  se entiende aún  le falta fluidez,exitos y  sigue practicando :D  
Assessment #2314071
-- 発音の良さ / Fluency of Pronunciation: 良い　Good (2)
-- feedback: I think pronunciation and rhythm is good. Need to be careful with the pitch accent in some places though.
Assessment #2314068
-- 発音の良さ / Fluency of Pronunciation: まあ良い　Fair (2)
-- feedback: アクセントがちょっと違和感がありました。",2016-12-12 04:36:49+00:00,2,2,"These assessments were useful.
These assessments were useful.
These assessments were useful.
",The comments were really specific and useful.
